Pop,Cs39,Cs40,Cs03,Cs34,Cs42
1,175175,222222,,185195,
1,171175,222222,,185193,156156
1,,224224,,185185,154154
1,175175,,,185203,154154
1,175175,226226,,185195,150150
1,171171,226226,220226,185203,
1,175175,,,185185,156170
1,171197,228228,,195203,154154
1,173173,,,185195,
1,175175,226226,,185185,150150
1,171171,,,189189,154154
1,,226226,220220,185189,170170
1,175175,,,185195,
1,175175,222226,,185195,
1,175175,224224,,185195,
1,175175,,220220,185185,
1,175175,,,185185,152152
1,163163,,220220,185203,
1,133139,,220226,185203,150150
1,,226226,,195203,
1,,,,185185,174174
1,,,222222,185185,154154
1,169169,,,185185,
1,171175,222228,220226,185185,156170
1,175175,222226,,185193,156156
2,175175,226226,222222,185185,174174
2,,,220222,,
2,171171,224224,220222,185193,
2,173173,226226,220220,185185,154166
2,171171,226226,220220,185185,
2,173173,224224,,185191,
2,171171,,,185185,150170
2,173173,226226,220220,185201,150150
2,175175,,220220,,174174
2,175175,230230,220222,185193,174174
3,161161,,220222,,
3,173173,222222,220220,185201,
3,173173,,,185185,
3,173173,,,185193,152152
3,171171,226226,,185185,184184
3,169169,226226,220228,187187,172172
3,175175,,,185185,172172
3,171171,226226,,,152172
3,173195,226226,220220,201201,172172
3,171171,,,193203,154166
3,173173,224224,,185185,170170
3,,,,185193,
3,,226226,220224,189201,
3,173173,,220222,,162170
3,175175,226226,224224,185185,170170
3,171171,222226,220220,185185,154170
3,175175,,220220,185185,170170
3,,226226,,,158158
3,173173,226226,220222,187201,152152
3,,222222,220232,185185,
3,175175,226226,,185185,158158
3,173173,226226,,185197,
3,173173,232232,220222,185185,
3,,,,193193,
4,177177,,226226,187187,
4,175175,,,185185,
4,,222222,,185197,150150
4,,226226,226226,185189,170170
4,,226226,,185185,
4,195195,226226,,,
4,173173,230230,,187187,150150
4,,,,,
4,,226226,,185201,
4,,,,185201,
4,,,,185203,192192
4,177177,,,187189,
4,,226226,,185185,
4,175175,226226,,187199,
4,,226226,224224,187201,170170
4,,,,185185,150170
4,121121,,,197197,
4,177177,230230,,187195,
4,177177,,,187197,170184
4,177177,,220220,,150150
4,,220220,,187203,
4,,,,191197,
4,,,,,158158
4,,226226,,187201,150150
5,175175,226226,212220,,170170
5,175175,228228,222228,187187,184184
5,175175,,220226,185185,158158
5,167167,,,185185,168168
5,175175,226226,,193203,
5,173173,226226,220220,,
5,175175,226230,,185195,
5,175175,226226,,189195,
5,175175,,222226,185195,
5,173173,,226226,185193,162162
5,173173,226226,,185197,
5,,226226,220228,,
5,175179,,,,
5,173173,222222,218220,185185,
5,173177,226226,,189189,
5,173173,226226,,185185,
5,165165,,,185185,170170
5,173173,,220226,185185,
5,,230230,220226,189195,
5,175175,226226,2204224,185185,
5,175175,230230,220226,185185,170170
5,173173,226226,,185189,
5,175175,226226,,185193,170170
5,,,,,170170
5,175175,226226,,185199,
5,175175,230230,226226,189195,
5,175175,,220226,193193,
5,,,,185197,
5,173173,230230,,187187,
5,175175,230230,,185193,170170
5,,,,185185,
5,,,,,
6,175175,222222,,185197,184184
6,,222226,,185193,170170
6,,226226,212220,185203,
6,173173,226230,,187187,152190
6,173173,222228,,185195,
6,145145,,,185191,184184
6,,,,185195,
6,123123,,,185203,
6,175175,226226,212222,185185,
6,,,,185185,170170
7,173173,,,185195,150150
7,173173,222222,,187195,150150
7,,222222,,185185,150150
7,,,220220,185185,150150
7,175175,,218222,187195,
7,175175,,,,150150
7,,,,185185,150150
7,167167,,,185193,
7,113115,,220220,,150150
7,175175,222222,,185195,
7,173173,,,,174174
7,,,,,150150
7,171175,226226,220220,,
7,175175,222222,220220,185189,150170
7,173173,,220220,185193,150150
8,169177,,222222,187195,
8,,224224,218224,187187,
8,169177,224224,224224,185193,152152
8,171171,224224,220220,185193,
8,177177,224224,218224,185193,
8,179179,,222226,185193,
8,171171,224224,220220,185185,
8,177177,,220220,185185,158158
8,171171,224224,220228,185185,
8,177177,224224,,185193,
8,173173,224224,220222,187187,
8,169169,232232,218218,185193,
8,171171,224224,220220,193193,158158
8,177177,224224,,187193,
8,173173,222232,220220,185185,170170
8,169169,,220220,185193,
9,195195,224224,222222,187187,150168
9,169195,222234,222222,,
9,169171,,222228,187195,150150
9,173177,224234,220220,187187,
9,173195,224224,220226,187201,152152
9,171173,224224,,185195,158158
9,171195,222222,222222,,150154
9,173177,222222,220220,187195,152152
9,171171,224224,222222,,170170
9,169195,224224,220220,185185,150150
9,169169,224224,216220,,150154
9,169169,224224,222226,193193,170170
9,195195,224224,222224,195195,152152
9,173173,224224,224228,187187,152170
9,173173,,222224,,172172
9,169173,220220,220226,,
9,169173,224224,220222,189189,170170
9,171175,230230,222226,195195,150170
9,169169,224224,220220,195195,150170
9,169169,224224,220220,185185,150150
9,169195,220220,224228,193193,152170
9,169169,220224,222224,185189,
9,169173,222222,218220,185189,170170
9,169173,220220,220226,185189,
9,169177,222224,220228,185185,152152
10,169169,222234,218226,185185,156156
10,169171,222222,,,150172
10,169171,220224,,199199,
10,169171,222224,220220,187187,170170
10,169169,222224,220220,185185,160160
10,195195,222224,,187187,
10,171171,224224,,185197,
10,173173,222224,226226,185193,
10,169171,222224,,187187,150150
10,169169,222224,,185185,170170
10,169173,222224,220220,185193,184184
10,169169,222224,,187195,
10,173173,222222,220228,185185,160160
10,169171,222222,,187187,
10,169169,222224,,187187,
10,169171,222224,,,142150
10,169171,222224,,187187,170184
10,169169,222224,,187187,154166
10,169171,222222,,187187,176176
10,169169,222222,,187203,150168
11,173173,224224,,185185,
11,173185,224224,,185185,150150
11,169171,224224,,185185,160168
11,169169,224224,,187195,150158
11,165169,224224,,185185,
11,171171,224224,,185185,
11,169171,224224,,185185,
11,169171,224224,,185185,
11,173173,224224,,185185,146150
11,169169,224224,,185185,
11,169169,222224,,185199,150150
11,171171,224224,,185199,
11,165165,224224,,185185,
